UnitID,Institution Name,State abbreviation (HD2019),
449463,Academy Di Capelli-School of Cosmetology,CT,
480736,Ace Cosmetology and Barber Training Center,CT,
128498,Albertus Magnus College,CT,
493682,American Institute of Healthcare & Technology,CT,
129482,American Institute-West Hartford,CT,
128577,Asnuntuck Community College,CT,
481571,Belle Academy of Cosmetology LLC,CT,
451042,Branford Academy of Hair and Cosmetology,CT,
128674,Branford Hall Career Institute-Branford Campus,CT,
434520,Branford Hall Career Institute-Southington Campus,CT,
431187,Bristol Technical Education Center,CT,
129367,Capital Community College,CT,
128771,Central Connecticut State University,CT,
128780,Charter Oak State College,CT,
128902,Connecticut College,CT,
128896,Cortiva Institute-Cromwell,CT,
443483,Cortiva Institute-Groton,CT,
407054,Cortiva Institute-Westport,CT,
417248,CT Aero Tech School,CT,
485607,Dolce LLC The Academy,CT,
129215,Eastern Connecticut State University,CT,
457332,European Academy of Cosmetology and Hairdressing,CT,
129242,Fairfield University,CT,
130396,Gateway Community College,CT,
129154,Goodwin College,CT,
489399,Harris School of Business-Danbury,CT,
129491,Hartford Seminary,CT,
129534,Holy Apostles College and Seminary,CT,
129543,Housatonic Community College,CT,
415057,Industrial Management Training Institute,CT,
457341,International Institute of Cosmetology,CT,
129181,Lincoln Technical Institute-East Windsor,CT,
129923,Lincoln Technical Institute-New Britain,CT,
445911,Lincoln Technical Institute-Shelton,CT,
129695,Manchester Community College,CT,
129756,Middlesex Community College,CT,
129774,Mitchell College,CT,
129729,Naugatuck Valley Community College,CT,
129932,New England Tractor Trailer Training School of Connecticut,CT,
480903,New England Tractor Trailer Training School of CT-Bridgeport,CT,
130040,Northwestern Connecticut Community College,CT,
130004,Norwalk Community College,CT,
455798,Oxford Academy of Hair Design Inc,CT,
130110,Paier College of Art Inc,CT,
129349,Paul Mitchell the School-North Haven,CT,
129002,Porter and Chester Institute of Hamden,CT,
130174,Porter and Chester Institute of Stratford,CT,
130183,Post University,CT,
130217,Quinebaug Valley Community College,CT,
130226,Quinnipiac University,CT,
129428,Rensselaer at Hartford,CT,
484127,Ricci's Academy of Cosmetology,CT,
130253,Sacred Heart University,CT,
130493,Southern Connecticut State University,CT,
448619,Stone Academy-East Hartford,CT,
413778,Stone Academy-Waterbury,CT,
130509,Stone Academy-West Haven,CT,
417275,Stratford School for Aviation Maintenance Technicians,CT,
129808,Three Rivers Community College,CT,
130590,Trinity College,CT,
130606,Tunxis Community College,CT,
130624,United States Coast Guard Academy,CT,
128744,University of Bridgeport,CT,
129020,University of Connecticut,CT,
436827,University of Connecticut-Avery Point,CT,
463056,University of Connecticut-Hartford Campus,CT,
436836,University of Connecticut-Stamford,CT,
436818,University of Connecticut-Waterbury Campus,CT,
129525,University of Hartford,CT,
129941,University of New Haven,CT,
130314,University of Saint Joseph,CT,
130697,Wesleyan University,CT,
130776,Western Connecticut State University,CT,
130794,Yale University,CT,